Date,"Growth hacking"
2016-06-18,217
2016-06-19,240
2016-06-20,471
2016-06-21,461
2016-06-22,446
2016-06-23,442
2016-06-24,341
2016-06-25,231
2016-06-26,247
2016-06-27,445
2016-06-28,421
2016-06-29,460
2016-06-30,430
2016-07-01,410
2016-07-02,213
2016-07-03,228
2016-07-04,385
2016-07-05,437
2016-07-06,477
2016-07-07,425
2016-07-08,414
2016-07-09,207
2016-07-10,209
2016-07-11,426
2016-07-12,472
2016-07-13,428
2016-07-14,474
2016-07-15,396
2016-07-16,230
2016-07-17,248
2016-07-18,441
2016-07-19,456
2016-07-20,412
2016-07-21,478
2016-07-22,320
2016-07-23,222
2016-07-24,219
2016-07-25,439
2016-07-26,437
2016-07-27,432
2016-07-28,365
2016-07-29,326
2016-07-30,196
2016-07-31,270
2016-08-01,420
2016-08-02,471
2016-08-03,437
2016-08-04,438
2016-08-05,417
2016-08-06,194
2016-08-07,228
2016-08-08,374
2016-08-09,402
2016-08-10,441
2016-08-11,380
2016-08-12,377
2016-08-13,209
2016-08-14,219
2016-08-15,371
2016-08-16,429
2016-08-17,492
2016-08-18,413
2016-08-19,376
2016-08-20,224
2016-08-21,214
2016-08-22,454
2016-08-23,470
2016-08-24,456
2016-08-25,398
2016-08-26,373
2016-08-27,225
2016-08-28,297
2016-08-29,396
2016-08-30,410
2016-08-31,462
2016-09-01,536
2016-09-02,391
2016-09-03,251
2016-09-04,265
2016-09-05,400
2016-09-06,452
2016-09-07,506
2016-09-08,426
2016-09-09,416
2016-09-10,244
2016-09-11,221
2016-09-12,449
2016-09-13,416
2016-09-14,396
2016-09-15,433
2016-09-16,363
2016-09-17,227
2016-09-18,210
2016-09-19,428
2016-09-20,462
2016-09-21,456
2016-09-22,411
2016-09-23,350
2016-09-24,235
2016-09-25,260
2016-09-26,465
2016-09-27,418
2016-09-28,454
2016-09-29,475
2016-09-30,395
2016-10-01,219
2016-10-02,237
2016-10-03,443
2016-10-04,414
2016-10-05,439
2016-10-06,419
2016-10-07,355
2016-10-08,196
2016-10-09,410
2016-10-10,360
2016-10-11,409
2016-10-12,413
2016-10-13,476
2016-10-14,335
2016-10-15,179
2016-10-16,265
2016-10-17,487
2016-10-18,496
2016-10-19,438
2016-10-20,395
2016-10-21,376
2016-10-22,256
2016-10-23,200
2016-10-24,459
2016-10-25,413
2016-10-26,410
2016-10-27,374
2016-10-28,323
2016-10-29,175
2016-10-30,186
2016-10-31,375
2016-11-01,451
2016-11-02,445
2016-11-03,468
2016-11-04,371
2016-11-05,232
2016-11-06,220
2016-11-07,407
2016-11-08,415
2016-11-09,344
2016-11-10,407
2016-11-11,341
2016-11-12,200
2016-11-13,234
